Price,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,JPM,TSLA,MSFT,HDFCBANK.NS,RELIANCE.NS,TCS.NS,AAPL,JPM,TSLA,MSFT,HDFCBANK.NS,RELIANCE.NS,TCS.NS,AAPL,JPM,TSLA,MSFT,HDFCBANK.NS,RELIANCE.NS,TCS.NS,AAPL,JPM,TSLA,MSFT,HDFCBANK.NS,RELIANCE.NS,TCS.NS,AAPL,JPM,TSLA,MSFT,HDFCBANK.NS,RELIANCE.NS,TCS.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/02/2019,41.37959671,87.41667938,19.64733315,104.6390533,13.86270455,7.729084837,24.47036299,41.38677332,88.32414472,19.76666641,104.8559276,14.10563178,7.810304759,24.52564068,40.99922204,87.23351961,19.47333336,103.5546605,13.84712907,7.689258622,24.20922148,41.04706729,87.9994547,19.63266754,103.771542,14.0479645,7.805914606,24.36298296,75652800,10647300,86109000,27763200,4445354,19152470,2271955
25/02/2019,41.68103027,88.33249664,19.91799927,105.2236786,14.1182764,7.745526588,25.28115744,42.07336722,89.30656696,20.19333267,105.7800223,14.14850076,7.812781214,25.34292255,41.61404618,87.99115853,19.79999924,104.9125109,13.9173364,7.6723014,24.5851819,41.66428608,88.0411089,19.86066628,105.3839854,13.9173364,7.768782829,24.61065217,87493600,11230700,99397500,23750600,4070298,17176522,2934880
26/02/2019,41.70494843,87.65812683,19.85733223,105.9497452,14.00866117,7.663421446,25.94157916,41.93700172,87.80798427,20.13400078,106.7795377,14.10390466,7.754798775,26.02365357,41.42744087,86.53419924,19.25133324,104.8276336,13.94527786,7.573928964,25.09603214,41.55662706,87.00041955,19.48133278,104.9125028,14.0126441,7.595909059,25.24554583,68280800,15465400,128737500,21536700,4803714,22160532,6453309
27/02/2019,41.83413696,87.54991913,20.98266792,105.7705917,13.91590158,7.700078552,26.24380679,41.86523802,87.73307261,21.08666611,105.9497544,14.13006879,7.834759491,26.45866723,41.32218506,87.0087668,20.03666687,104.5541866,13.88863115,7.608823102,25.78347739,41.43701805,87.56656714,20.1186676,105.3179802,14.07453253,7.728714353,26.01300389,111341600,9968800,167758500,21487100,3515046,24308835,4732082
28/02/2019,41.42265701,86.88387299,21.32533264,105.6385651,13.76960365,7.720387148,25.20308957,41.84370399,87.5915307,21.33333206,106.4400702,13.95717095,7.775575429,26.32000974,41.36763516,86.73401554,20.72066689,105.3556847,13.74077204,7.692165886,25.12875572,41.70255922,87.42502524,21.26133347,105.6479966,13.8726664,7.737320239,26.17578754,112861600,15156900,157810500,29083900,5822688,24688859,8454295
1/03/2019,41.85806274,86.94216919,19.65266609,106.1100464,13.8809702,7.729638294,25.48884803,41.90112238,88.17433142,20.47533226,106.5720894,13.99790125,7.832402166,25.61147624,41.36046403,86.75068216,19.45999908,105.2991097,13.83866069,7.705681858,25.29660167,41.6929935,87.49996957,20.46266747,106.4495086,13.90029171,7.798672762,25.48437751,103544800,13813300,343671000,23501200,4676464,17329606,4148548
4/03/2019,42.06858444,86.74233246,19.02400017,105.8554535,13.84694804,7.710693007,25.42637505,42.52311985,88.1826229,19.93333244,106.788971,13.9635925,7.813205005,25.54870269,41.61883101,85.97639094,18.85199928,104.4787489,13.80474224,7.686795287,25.23459988,42.03030678,87.35008302,19.87466621,106.5720895,13.86622219,7.779558271,25.42191549,109744800,12466300,256452000,26608000,4676464,17329606,4148548
5/03/2019,41.99203491,86.6757431,18.43600082,105.3273926,14.02257892,7.793528143,25.36550276,42.10447329,87.04206275,18.93333244,105.9780296,14.04919859,7.807066807,25.60664185,41.75519594,85.96808535,18.00666618,104.8842126,13.7756808,7.673569223,25.21877811,42.09012007,86.69239111,18.79999924,105.8460174,13.90145811,7.70379498,25.58112452,78949600,10856600,281470500,19538300,5918638,15577500,2449622
6/03/2019,41.75040817,86.35103607,18.41600037,105.3745422,14.0347892,7.982223298,25.56903037,41.9824615,87.05869369,18.76733208,106.2326292,14.07514142,8.034605253,25.7659516,41.61165438,86.20950582,18.29266739,105.0727989,13.94341416,7.794785229,25.3829794,41.7862912,86.46759115,18.43199921,105.4876987,14.07314017,7.824447188,25.43732446,83241600,9070800,155032500,17687000,4229022,26332276,2635047
7/03/2019,41.26716614,85.72665405,18.43933296,104.0921402,14.25928232,8.059627355,25.88233156,41.73127282,86.1429241,18.97999954,105.1859645,14.28275163,8.120220828,26.02053007,41.15233678,85.05229861,18.28333282,103.6018099,14.04805853,7.982853542,25.71392096,41.59491,85.95976426,18.58933258,105.0445207,14.14595974,8.019971502,25.77562883,99185600,12705700,141637500,25339000,5102426,17738092,2539884
8/03/2019,41.365242,85.75993347,18.94266701,104.2052689,14.24587804,8.025668751,25.95797742,41.40351966,85.94309326,19.03933334,104.3938557,14.25792732,8.072222763,26.09016135,40.54946719,84.91073925,18.39266777,102.5928274,14.12036812,7.993366002,25.79563704,40.74563745,84.91073925,18.46066666,102.9322895,14.1578544,8.019017936,25.98749471,95997600,10582400,132294000,22818400,3526730,13211934,2031071
11/03/2019,42.79823685,86.87554169,19.39466667,106.3929291,14.34946442,8.319106173,26.0415398,42.85086773,87.04205349,19.41866684,106.5060783,14.45227601,8.369501214,26.27677642,41.94897344,86.30109345,18.70000076,104.648475,14.30732852,8.088817054,25.89742436,41.98246549,86.56750597,18.90133286,104.6578993,14.37339794,8.101894453,26.22378373,128044000,9763200,110884500,26491600,4612054,21258869,3111689
12/03/2019,43.27908325,86.6174469,18.89066696,107.1378708,14.67759508,8.516886311,26.08451857,43.70012657,87.24185179,19.20466614,107.4867573,14.7046381,8.533838783,26.24459527,42.91066715,86.37600958,18.7373333,106.2232091,14.44772948,8.407494228,25.96203233,43.06138316,87.07534001,19.09933281,106.3835087,14.51533701,8.4244467,26.10525836,129870400,10219100,112561500,26132700,7548646,24561597,2658550
13/03/2019,43.47047806,86.90882874,19.26399994,107.967659,15.0413273,8.612146472,25.90924817,43.85085282,87.40003052,19.4659996,108.4391335,15.091655,8.693326193,26.10869983,43.28148434,86.54250919,18.84666634,107.2887346,14.67349387,8.489417241,25.62561249,43.59966063,86.74232332,18.92666626,107.6187653,14.69308399,8.546307478,26.07114049,124130000,13022200,102670500,35513800,28583174,24577591,1833163
14/03/2019,43.95371246,87.69975281,19.3306675,108.0525131,15.05475139,8.589991691,25.78339949,44.04223002,88.1410043,19.69266701,108.6277125,15.20869929,8.720933871,26.04805783,43.67381389,86.96711996,19.21933365,107.8073516,14.95899983,8.555094862,25.70036921,43.99438111,87.00042232,19.49666786,108.00537,15.19076755,8.642496791,26.01108228,94318000,10926500,106551000,30763400,7689932,22753310,1905495
15/03/2019,44.52547455,88.70713043,18.36199951,109.2972336,15.33145155,8.510048053,26.61363074,44.81494438,88.91526541,18.91466713,110.5607819,15.37840473,8.749254941,26.99197105,43.95610978,87.608178,18.29333305,108.0525339,15.16166949,8.442760719,25.97501903,44.22165516,87.75803544,18.90066719,108.7597457,15.18174363,8.660397286,26.07808447,156171600,24811700,221782500,54681100,6381544,34764353,5184318
18/03/2019,44.9800148,89.23995972,17.9659996,110.8624878,15.47472042,8.741362065,26.53696737,45.06852871,89.73948242,18.53666687,110.9002066,15.68137359,8.792513596,27.08533918,44.4465294,88.66550512,17.81999969,109.4292088,15.37584184,8.605066614,26.38216338,44.44892404,88.70713465,18.39999962,109.5423581,15.47779936,8.618015931,26.80196907,104879200,12935500,154215000,31207600,7179360,22104063,2349915
19/03/2019,44.62355423,88.9152832,17.83133316,110.9379578,15.59359112,8.956461814,26.66652613,45.21206141,90.24734606,18.21999931,111.6828884,15.6496318,8.97890888,26.76144292,44.47762384,88.70714818,17.56399918,110.3156079,15.47841412,8.738820567,26.3013567,45.05895441,90.08083424,17.83333206,111.3528505,15.60562454,8.848779137,26.76144292,126585600,12889300,177009000,37588700,5978996,21448030,2373993
20/03/2019,45.01350403,87.01705933,18.23999977,110.8153534,15.64894537,8.858994299,26.29629293,45.33168027,88.79037321,18.33133316,111.9751837,15.65575222,8.939826149,26.6845288,44.19294348,86.92548579,17.75333214,110.0515671,15.39062579,8.785247124,26.09989062,44.55178837,88.60721343,17.97933388,110.6927726,15.4447399,8.874130171,26.46528908,124140800,14920700,103623000,28113300,5855996,21639437,3091165
21/03/2019,46.67136765,85.64339447,18.26799965,113.3613281,15.76092663,8.922387798,26.48446486,46.96801408,86.15956522,18.43000031,113.9270961,15.76778219,9.003798068,26.87547888,45.40823387,85.15219255,17.89666748,110.4098932,15.50075856,8.848112901,26.28665712,45.45847376,86.15956522,18.17333221,110.4570435,15.55525991,8.93763198,26.65467032,204136800,19751000,89206500,29854400,5855996,21639437,3091165
22/03/2019,45.70488358,83.05418396,17.63533211,110.3721771,15.58050528,8.690520746,26.32076595,47.29337033,85.18548412,18.18666649,112.7672611,15.79167771,8.944095592,26.45659189,45.64029047,82.85436981,17.60000038,110.3627456,15.54388492,8.657812373,26.02746031,46.73117847,84.76921416,18.17200089,112.6823992,15.74376191,8.889688576,26.44346858,169630800,31115200,131184000,33624500,15201940,25078643,3148149
25/03/2019,45.15225601,82.36317444,17.36133385,110.9473724,15.56371298,8.549877248,25.95314001,45.92735861,83.7285394,17.54533386,111.2774031,15.60839938,8.629924726,26.26116457,44.64030413,81.6638376,16.9640007,109.6838172,15.37064156,8.499847897,25.8609284,45.81492026,82.91264748,17.31399918,109.9101229,15.41839766,8.589578225,26.26116457,175381200,21032300,153225000,27067100,4599630,17394088,2429205
26/03/2019,44.68576813,83.18738556,17.85133362,111.183136,15.82296959,8.856531954,26.02141615,46.14268154,83.58700751,18.01733208,111.937491,15.84795598,8.884709247,26.18284732,44.15707189,82.27159294,17.62866783,110.183605,15.55769603,8.615239986,25.69855221,45.85082066,83.10413284,17.6293335,111.852629,15.58028573,8.617183218,26.039134,199202000,15987100,110263500,26097700,5893424,20734876,2316539
